Review,Sentiment
The view was dirty and unpleasant.,Negative
The check-in process was fine.,Neutral
The restaurant was decent.,Neutral
Excellent food and friendly staff.,Positive
Excellent lobby and friendly staff.,Positive
The wifi made our vacation memorable.,Positive
Very disappointed with the facilities.,Negative
The swimming pool was below expectations.,Negative
The lobby was satisfactory.,Neutral
The food exceeded my expectations.,Positive
Excellent wifi and friendly staff.,Positive
Wonderful experience because of the garden.,Positive
The parking was fine.,Neutral
Nothing special about the lobby.,Neutral
Poor swimming pool and rude staff.,Negative
Overall the swimming pool was okay.,Neutral
The check-in process was satisfactory.,Neutral
Extremely unhappy with the room.,Negative
Highly recommend this hotel for its facilities.,Positive
Very disappointed with the check-in process.,Negative
The garden exceeded my expectations.,Positive
Overall the restaurant was okay.,Neutral
Wonderful experience because of the staff.,Positive
Everything was perfect including the gym.,Positive
The check-in process met basic expectations.,Neutral
The food was satisfactory.,Neutral
The staff exceeded my expectations.,Positive
The location exceeded my expectations.,Positive
The service exceeded my expectations.,Positive
Poor garden and rude staff.,Negative
The breakfast was dirty and unpleasant.,Negative
Wonderful experience because of the swimming pool.,Positive
Average experience with the service.,Neutral
Loved the check-in process during my stay.,Positive
The hotel was amazing with lobby.,Positive
The parking was decent.,Neutral
Very disappointed with the gym.,Negative
The service was satisfactory.,Neutral
Very clean food and comfortable rooms.,Positive
The location was dirty and unpleasant.,Negative
The bathroom was average.,Neutral
Excellent staff and friendly staff.,Positive
Highly recommend this hotel for its bathroom.,Positive
Loved the restaurant during my stay.,Positive
Everything was perfect including the bathroom.,Positive
The hotel was amazing with wifi.,Positive
Bad food ruined our stay.,Negative
Very clean wifi and comfortable rooms.,Positive
Everything was perfect including the swimming pool.,Positive
The breakfast was acceptable.,Neutral
The air conditioner met basic expectations.,Neutral
The staff was below expectations.,Negative
Overall the swimming pool was okay.,Neutral
The wifi was decent.,Neutral
The wifi was acceptable.,Neutral
Average experience with the facilities.,Neutral
Very clean staff and comfortable rooms.,Positive
The facilities met basic expectations.,Neutral
The gym was below expectations.,Negative
Worst experience because of the restaurant.,Negative
Excellent location and friendly staff.,Positive
The cleanliness was terrible.,Negative
Overall the service was okay.,Neutral
Excellent food and friendly staff.,Positive
Everything was perfect including the facilities.,Positive
The swimming pool was not working.,Negative
Extremely unhappy with the restaurant.,Negative
Very clean gym and comfortable rooms.,Positive
Highly recommend this hotel for its facilities.,Positive
Highly recommend this hotel for its bathroom.,Positive
The swimming pool was below expectations.,Negative
The hotel was amazing with service.,Positive
Nothing special about the air conditioner.,Neutral
The room made our vacation memorable.,Positive
The restaurant needs major improvement.,Negative
Great location and excellent breakfast.,Positive
Great location and excellent swimming pool.,Positive
Loved the service during my stay.,Positive
The garden exceeded my expectations.,Positive
Excellent check-in process and friendly staff.,Positive
The parking met basic expectations.,Neutral
The food exceeded my expectations.,Positive
Great location and excellent garden.,Positive
The lobby made our vacation memorable.,Positive
The facilities was fine.,Neutral
Excellent garden and friendly staff.,Positive
The garden was satisfactory.,Neutral
The bed exceeded my expectations.,Positive
The service met basic expectations.,Neutral
The restaurant needs major improvement.,Negative
The hotel was amazing with restaurant.,Positive
The service was average.,Neutral
The lobby exceeded my expectations.,Positive
The cleanliness was dirty and unpleasant.,Negative
Bad service ruined our stay.,Negative
The wifi was below expectations.,Negative
The air conditioner was decent.,Neutral
Bad parking ruined our stay.,Negative
The cleanliness made our vacation memorable.,Positive
The lobby was average.,Neutral
Poor wifi and rude staff.,Negative
Excellent gym and friendly staff.,Positive
The parking was terrible.,Negative
The gym was decent.,Neutral
Extremely unhappy with the service.,Negative
Everything was perfect including the restaurant.,Positive
The facilities was average.,Neutral
Overall the bathroom was okay.,Neutral
Bad garden ruined our stay.,Negative
The swimming pool made our vacation memorable.,Positive
Wonderful experience because of the cleanliness.,Positive
Nothing special about the wifi.,Neutral
Worst experience because of the breakfast.,Negative
The hotel was amazing with staff.,Positive
The breakfast was neither good nor bad.,Neutral
Loved the food during my stay.,Positive
Extremely unhappy with the restaurant.,Negative
Wonderful experience because of the service.,Positive
Very disappointed with the cleanliness.,Negative
The garden exceeded my expectations.,Positive
The wifi was acceptable.,Neutral
The facilities met basic expectations.,Neutral
Worst experience because of the gym.,Negative
The view was satisfactory.,Neutral
The location was decent.,Neutral
Poor facilities and rude staff.,Negative
The gym needs major improvement.,Negative
The check-in process was fine.,Neutral
The staff exceeded my expectations.,Positive
The cleanliness exceeded my expectations.,Positive
The room was dirty and unpleasant.,Negative
Loved the lobby during my stay.,Positive
Very disappointed with the food.,Negative
Excellent parking and friendly staff.,Positive
Very clean breakfast and comfortable rooms.,Positive
The breakfast was neither good nor bad.,Neutral
The staff was fine.,Neutral
Wonderful experience because of the location.,Positive
Worst experience because of the gym.,Negative
The wifi needs major improvement.,Negative
The staff was neither good nor bad.,Neutral
The swimming pool was fine.,Neutral
The facilities met basic expectations.,Neutral
The bathroom exceeded my expectations.,Positive
The check-in process made our vacation memorable.,Positive
Poor restaurant and rude staff.,Negative
The view was decent.,Neutral
Bad lobby ruined our stay.,Negative
The air conditioner needs major improvement.,Negative
The garden met basic expectations.,Neutral
Nothing special about the parking.,Neutral
The bed made our vacation memorable.,Positive
Nothing special about the bathroom.,Neutral
The service made our vacation memorable.,Positive
The breakfast met basic expectations.,Neutral
The facilities was below expectations.,Negative
The service exceeded my expectations.,Positive
Bad parking ruined our stay.,Negative
Worst experience because of the cleanliness.,Negative
The check-in process needs major improvement.,Negative
The hotel was amazing with staff.,Positive
The lobby needs major improvement.,Negative
Loved the swimming pool during my stay.,Positive
Very clean service and comfortable rooms.,Positive
Average experience with the restaurant.,Neutral
Bad garden ruined our stay.,Negative
Wonderful experience because of the lobby.,Positive
Very clean room and comfortable rooms.,Positive
The cleanliness needs major improvement.,Negative
The restaurant was satisfactory.,Neutral
The check-in process was average.,Neutral
Great location and excellent service.,Positive
Everything was perfect including the location.,Positive
The air conditioner was not working.,Negative
The bed was fine.,Neutral
Excellent lobby and friendly staff.,Positive
The service was satisfactory.,Neutral
The hotel was amazing with service.,Positive
The swimming pool was dirty and unpleasant.,Negative
The wifi met basic expectations.,Neutral
Very clean service and comfortable rooms.,Positive
The garden was fine.,Neutral
Worst experience because of the cleanliness.,Negative
Loved the view during my stay.,Positive
Overall the breakfast was okay.,Neutral
Very disappointed with the bathroom.,Negative
Excellent room and friendly staff.,Positive
Bad wifi ruined our stay.,Negative
The bathroom was acceptable.,Neutral
The gym was neither good nor bad.,Neutral
The service was below expectations.,Negative
The gym met basic expectations.,Neutral
Worst experience because of the swimming pool.,Negative
Great location and excellent cleanliness.,Positive
Great location and excellent parking.,Positive
The swimming pool needs major improvement.,Negative
Great location and excellent check-in process.,Positive
The room met basic expectations.,Neutral
The staff was dirty and unpleasant.,Negative
The gym made our vacation memorable.,Positive
The location met basic expectations.,Neutral
Poor breakfast and rude staff.,Negative
The bathroom was dirty and unpleasant.,Negative
Highly recommend this hotel for its food.,Positive
The check-in process met basic expectations.,Neutral
Everything was perfect including the swimming pool.,Positive
The location was decent.,Neutral
Bad view ruined our stay.,Negative
The facilities was neither good nor bad.,Neutral
Bad wifi ruined our stay.,Negative
The food was fine.,Neutral
The swimming pool was acceptable.,Neutral
Highly recommend this hotel for its bathroom.,Positive
The location made our vacation memorable.,Positive
The wifi was average.,Neutral
The cleanliness was fine.,Neutral
Wonderful experience because of the bathroom.,Positive
Very clean cleanliness and comfortable rooms.,Positive
Loved the view during my stay.,Positive
Extremely unhappy with the facilities.,Negative
Extremely unhappy with the lobby.,Negative
Everything was perfect including the location.,Positive
The lobby was terrible.,Negative
The cleanliness met basic expectations.,Neutral
Very disappointed with the bathroom.,Negative
Excellent cleanliness and friendly staff.,Positive
The staff was satisfactory.,Neutral
The parking was satisfactory.,Neutral
Very disappointed with the bed.,Negative
The check-in process was not working.,Negative
The bed was satisfactory.,Neutral
Everything was perfect including the facilities.,Positive
Poor room and rude staff.,Negative
The bathroom exceeded my expectations.,Positive
Highly recommend this hotel for its location.,Positive
The breakfast was decent.,Neutral
The bathroom needs major improvement.,Negative
The breakfast needs major improvement.,Negative
The gym was not working.,Negative
Everything was perfect including the location.,Positive
The staff was neither good nor bad.,Neutral
Highly recommend this hotel for its bathroom.,Positive
The parking was neither good nor bad.,Neutral
The bed was satisfactory.,Neutral
The swimming pool was acceptable.,Neutral
Great location and excellent garden.,Positive
Great location and excellent lobby.,Positive
Average experience with the parking.,Neutral
Wonderful experience because of the swimming pool.,Positive
Nothing special about the parking.,Neutral
The bed was terrible.,Negative
The hotel was amazing with lobby.,Positive
Excellent wifi and friendly staff.,Positive
The food was fine.,Neutral
The room exceeded my expectations.,Positive
The hotel was amazing with bathroom.,Positive
The lobby was acceptable.,Neutral
Worst experience because of the service.,Negative
Very disappointed with the check-in process.,Negative
The air conditioner was below expectations.,Negative
The air conditioner exceeded my expectations.,Positive
Excellent view and friendly staff.,Positive
The room met basic expectations.,Neutral
Everything was perfect including the staff.,Positive
Highly recommend this hotel for its facilities.,Positive
Average experience with the gym.,Neutral
Very disappointed with the check-in process.,Negative
Worst experience because of the lobby.,Negative
The view made our vacation memorable.,Positive
Highly recommend this hotel for its restaurant.,Positive
Bad garden ruined our stay.,Negative
The garden made our vacation memorable.,Positive
The bed was below expectations.,Negative
The lobby was average.,Neutral
Loved the gym during my stay.,Positive
Everything was perfect including the food.,Positive
Overall the view was okay.,Neutral
Highly recommend this hotel for its lobby.,Positive
The hotel was amazing with staff.,Positive
The facilities needs major improvement.,Negative
Very clean lobby and comfortable rooms.,Positive
Bad lobby ruined our stay.,Negative
The restaurant was satisfactory.,Neutral
The bed was fine.,Neutral
The room was below expectations.,Negative
The location was below expectations.,Negative
The room met basic expectations.,Neutral
Poor location and rude staff.,Negative
Nothing special about the service.,Neutral
The hotel was amazing with cleanliness.,Positive
Very clean gym and comfortable rooms.,Positive
Average experience with the staff.,Neutral
Bad cleanliness ruined our stay.,Negative
Loved the breakfast during my stay.,Positive
The bed met basic expectations.,Neutral
The room was below expectations.,Negative
The air conditioner was below expectations.,Negative
Highly recommend this hotel for its room.,Positive
Excellent lobby and friendly staff.,Positive
The hotel was amazing with air conditioner.,Positive
The food was terrible.,Negative
The staff was neither good nor bad.,Neutral
Highly recommend this hotel for its lobby.,Positive
The restaurant was not working.,Negative
Poor restaurant and rude staff.,Negative
The hotel was amazing with air conditioner.,Positive
The check-in process was neither good nor bad.,Neutral
The cleanliness was dirty and unpleasant.,Negative
Wonderful experience because of the bed.,Positive
Bad cleanliness ruined our stay.,Negative
The cleanliness was acceptable.,Neutral
Very clean check-in process and comfortable rooms.,Positive
The lobby made our vacation memorable.,Positive
Average experience with the swimming pool.,Neutral
Wonderful experience because of the staff.,Positive
The check-in process was average.,Neutral
Very clean restaurant and comfortable rooms.,Positive
Wonderful experience because of the facilities.,Positive
Very clean location and comfortable rooms.,Positive
Everything was perfect including the breakfast.,Positive
The wifi met basic expectations.,Neutral
Average experience with the wifi.,Neutral
Great location and excellent lobby.,Positive
Wonderful experience because of the check-in process.,Positive
The bathroom made our vacation memorable.,Positive
The bathroom was not working.,Negative
The swimming pool exceeded my expectations.,Positive
Great location and excellent service.,Positive
The restaurant was satisfactory.,Neutral
Very disappointed with the check-in process.,Negative
Very clean facilities and comfortable rooms.,Positive
The wifi met basic expectations.,Neutral
Nothing special about the parking.,Neutral
The hotel was amazing with food.,Positive
Bad room ruined our stay.,Negative
Highly recommend this hotel for its wifi.,Positive
The location was decent.,Neutral
Great location and excellent service.,Positive
The garden was terrible.,Negative
The lobby met basic expectations.,Neutral
The swimming pool was average.,Neutral
The garden met basic expectations.,Neutral
Very clean restaurant and comfortable rooms.,Positive
Wonderful experience because of the wifi.,Positive
The staff was satisfactory.,Neutral
The check-in process was satisfactory.,Neutral
The service exceeded my expectations.,Positive
Wonderful experience because of the bathroom.,Positive
The staff was satisfactory.,Neutral
The parking made our vacation memorable.,Positive
The room needs major improvement.,Negative
The staff was not working.,Negative
The food met basic expectations.,Neutral
The gym was fine.,Neutral
Overall the staff was okay.,Neutral
The swimming pool was below expectations.,Negative
Everything was perfect including the wifi.,Positive
Very clean wifi and comfortable rooms.,Positive
The wifi was not working.,Negative
Bad parking ruined our stay.,Negative
Nothing special about the location.,Neutral
Poor swimming pool and rude staff.,Negative
Excellent garden and friendly staff.,Positive
The food was below expectations.,Negative
The lobby met basic expectations.,Neutral
Worst experience because of the check-in process.,Negative
The hotel was amazing with breakfast.,Positive
The location was dirty and unpleasant.,Negative
The cleanliness needs major improvement.,Negative
The lobby exceeded my expectations.,Positive
The breakfast was average.,Neutral
Bad lobby ruined our stay.,Negative
Worst experience because of the wifi.,Negative
The lobby made our vacation memorable.,Positive
The service was satisfactory.,Neutral
Worst experience because of the check-in process.,Negative
Average experience with the air conditioner.,Neutral
Poor food and rude staff.,Negative
Everything was perfect including the wifi.,Positive
Highly recommend this hotel for its swimming pool.,Positive
Loved the bathroom during my stay.,Positive
Wonderful experience because of the restaurant.,Positive
Poor check-in process and rude staff.,Negative
Bad air conditioner ruined our stay.,Negative
The bathroom was neither good nor bad.,Neutral
Extremely unhappy with the facilities.,Negative
Everything was perfect including the room.,Positive
Loved the view during my stay.,Positive
Worst experience because of the food.,Negative
Wonderful experience because of the garden.,Positive
The hotel was amazing with room.,Positive
Great location and excellent food.,Positive
The hotel was amazing with wifi.,Positive
Excellent wifi and friendly staff.,Positive
Excellent cleanliness and friendly staff.,Positive
Loved the check-in process during my stay.,Positive
Great location and excellent gym.,Positive
The wifi was neither good nor bad.,Neutral
Loved the location during my stay.,Positive
Worst experience because of the food.,Negative
Average experience with the bathroom.,Neutral
The room was neither good nor bad.,Neutral
The room was dirty and unpleasant.,Negative
The gym was fine.,Neutral
The lobby exceeded my expectations.,Positive
Bad view ruined our stay.,Negative
Wonderful experience because of the swimming pool.,Positive
The bed met basic expectations.,Neutral
Wonderful experience because of the staff.,Positive
The cleanliness exceeded my expectations.,Positive
Nothing special about the gym.,Neutral
The wifi was terrible.,Negative
Highly recommend this hotel for its breakfast.,Positive
Very clean service and comfortable rooms.,Positive
The cleanliness needs major improvement.,Negative
The bathroom was average.,Neutral
Worst experience because of the wifi.,Negative
Extremely unhappy with the parking.,Negative
The bathroom was satisfactory.,Neutral
The gym was average.,Neutral
Extremely unhappy with the food.,Negative
The food was decent.,Neutral
The hotel was amazing with bed.,Positive
The gym was below expectations.,Negative
The room needs major improvement.,Negative
Loved the restaurant during my stay.,Positive
Wonderful experience because of the food.,Positive
Very disappointed with the breakfast.,Negative
Poor air conditioner and rude staff.,Negative
The bathroom was fine.,Neutral
The room was not working.,Negative
Loved the bathroom during my stay.,Positive
The location made our vacation memorable.,Positive
The garden was average.,Neutral
Poor facilities and rude staff.,Negative
Loved the restaurant during my stay.,Positive
Excellent view and friendly staff.,Positive
Worst experience because of the garden.,Negative
The view was not working.,Negative
Great location and excellent swimming pool.,Positive
Overall the check-in process was okay.,Neutral
The wifi exceeded my expectations.,Positive
The staff was satisfactory.,Neutral
The location was not working.,Negative
The facilities was acceptable.,Neutral
Very disappointed with the cleanliness.,Negative
The service was satisfactory.,Neutral
Everything was perfect including the bathroom.,Positive
The restaurant met basic expectations.,Neutral
Everything was perfect including the bed.,Positive
Bad parking ruined our stay.,Negative
The parking was dirty and unpleasant.,Negative
The hotel was amazing with staff.,Positive
Excellent cleanliness and friendly staff.,Positive
Very disappointed with the wifi.,Negative
Great location and excellent air conditioner.,Positive
Worst experience because of the staff.,Negative
The food was fine.,Neutral
The staff was satisfactory.,Neutral
Very disappointed with the bed.,Negative
The staff exceeded my expectations.,Positive
Wonderful experience because of the food.,Positive
Overall the gym was okay.,Neutral
The air conditioner was satisfactory.,Neutral
Bad lobby ruined our stay.,Negative
The restaurant was neither good nor bad.,Neutral
Excellent service and friendly staff.,Positive
The lobby made our vacation memorable.,Positive
Worst experience because of the wifi.,Negative
The lobby was average.,Neutral
Nothing special about the service.,Neutral
The location made our vacation memorable.,Positive
Wonderful experience because of the swimming pool.,Positive
The check-in process was dirty and unpleasant.,Negative
The service exceeded my expectations.,Positive
The wifi was satisfactory.,Neutral
Wonderful experience because of the room.,Positive
The lobby was decent.,Neutral
Everything was perfect including the bathroom.,Positive
Overall the bathroom was okay.,Neutral
The staff needs major improvement.,Negative
Highly recommend this hotel for its location.,Positive
Worst experience because of the gym.,Negative
The bed was fine.,Neutral
The bathroom was dirty and unpleasant.,Negative
Great location and excellent gym.,Positive
Very clean bed and comfortable rooms.,Positive
